Time Step,Time,EVAPOTRANS,sloth_ice_fraction_schaake,sloth_ice_fraction_xinan,sloth_smp
78,2022-08-27 19:00:00,0.000000,0.000000,0.000000,0.000000
79,2022-08-27 20:00:00,0.000000,0.000000,0.000000,0.000000
80,2022-08-27 21:00:00,0.000000,0.000000,0.000000,0.000000
81,2022-08-27 22:00:00,0.000000,0.000000,0.000000,0.000000
82,2022-08-27 23:00:00,0.000000,0.000000,0.000000,0.000000
83,2022-08-28 00:00:00,0.000000,0.000000,0.000000,0.000000
84,2022-08-28 01:00:00,0.000000,0.000000,0.000000,0.000000
85,2022-08-28 02:00:00,0.000000,0.000000,0.000000,0.000000
86,2022-08-28 03:00:00,0.000000,0.000000,0.000000,0.000000
87,2022-08-28 04:00:00,0.000000,0.000000,0.000000,0.000000
88,2022-08-28 05:00:00,0.000000,0.000000,0.000000,0.000000
89,2022-08-28 06:00:00,0.000000,0.000000,0.000000,0.000000
90,2022-08-28 07:00:00,0.000000,0.000000,0.000000,0.000000
91,2022-08-28 08:00:00,0.000000,0.000000,0.000000,0.000000
92,2022-08-28 09:00:00,0.000000,0.000000,0.000000,0.000000
93,2022-08-28 10:00:00,0.000000,0.000000,0.000000,0.000000
94,2022-08-28 11:00:00,0.000000,0.000000,0.000000,0.000000
95,2022-08-28 12:00:00,0.000000,0.000000,0.000000,0.000000
96,2022-08-28 13:00:00,0.000000,0.000000,0.000000,0.000000
97,2022-08-28 14:00:00,0.000000,0.000000,0.000000,0.000000
98,2022-08-28 15:00:00,0.000000,0.000000,0.000000,0.000000
99,2022-08-28 16:00:00,0.000000,0.000000,0.000000,0.000000
100,2022-08-28 17:00:00,0.000000,0.000000,0.000000,0.000000
101,2022-08-28 18:00:00,0.000000,0.000000,0.000000,0.000000
102,2022-08-28 19:00:00,0.000000,0.000000,0.000000,0.000000
103,2022-08-28 20:00:00,0.000000,0.000000,0.000000,0.000000
104,2022-08-28 21:00:00,0.000000,0.000000,0.000000,0.000000
105,2022-08-28 22:00:00,0.000000,0.000000,0.000000,0.000000
106,2022-08-28 23:00:00,0.000000,0.000000,0.000000,0.000000
107,2022-08-29 00:00:00,0.000000,0.000000,0.000000,0.000000
108,2022-08-29 01:00:00,0.000000,0.000000,0.000000,0.000000
109,2022-08-29 02:00:00,0.000000,0.000000,0.000000,0.000000
110,2022-08-29 03:00:00,0.000000,0.000000,0.000000,0.000000
111,2022-08-29 04:00:00,0.000000,0.000000,0.000000,0.000000
112,2022-08-29 05:00:00,0.000000,0.000000,0.000000,0.000000
113,2022-08-29 06:00:00,0.000000,0.000000,0.000000,0.000000
114,2022-08-29 07:00:00,0.000000,0.000000,0.000000,0.000000
115,2022-08-29 08:00:00,0.000000,0.000000,0.000000,0.000000
116,2022-08-29 09:00:00,0.000000,0.000000,0.000000,0.000000
117,2022-08-29 10:00:00,0.000000,0.000000,0.000000,0.000000
118,2022-08-29 11:00:00,0.000000,0.000000,0.000000,0.000000
119,2022-08-29 12:00:00,0.000000,0.000000,0.000000,0.000000
120,2022-08-29 13:00:00,0.000000,0.000000,0.000000,0.000000
121,2022-08-29 14:00:00,0.000000,0.000000,0.000000,0.000000
122,2022-08-29 15:00:00,0.000000,0.000000,0.000000,0.000000
123,2022-08-29 16:00:00,0.000000,0.000000,0.000000,0.000000
124,2022-08-29 17:00:00,0.000000,0.000000,0.000000,0.000000
125,2022-08-29 18:00:00,0.000000,0.000000,0.000000,0.000000
126,2022-08-29 19:00:00,0.000000,0.000000,0.000000,0.000000
127,2022-08-29 20:00:00,0.000000,0.000000,0.000000,0.000000
128,2022-08-29 21:00:00,0.000000,0.000000,0.000000,0.000000
129,2022-08-29 22:00:00,0.000000,0.000000,0.000000,0.000000
130,2022-08-29 23:00:00,0.000000,0.000000,0.000000,0.000000
131,2022-08-30 00:00:00,0.000000,0.000000,0.000000,0.000000
132,2022-08-30 01:00:00,0.000000,0.000000,0.000000,0.000000
133,2022-08-30 02:00:00,0.000000,0.000000,0.000000,0.000000
134,2022-08-30 03:00:00,0.000000,0.000000,0.000000,0.000000
135,2022-08-30 04:00:00,0.000000,0.000000,0.000000,0.000000
136,2022-08-30 05:00:00,0.000000,0.000000,0.000000,0.000000
137,2022-08-30 06:00:00,0.000000,0.000000,0.000000,0.000000
138,2022-08-30 07:00:00,0.000000,0.000000,0.000000,0.000000
139,2022-08-30 08:00:00,0.000000,0.000000,0.000000,0.000000
140,2022-08-30 09:00:00,0.000000,0.000000,0.000000,0.000000
141,2022-08-30 10:00:00,0.000000,0.000000,0.000000,0.000000
142,2022-08-30 11:00:00,0.000000,0.000000,0.000000,0.000000
